"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","selected","unique_id"
"22","Alsophila conjugata","1","443746","Alsophila conjugata","1","species","","","","Spruce ex Hook.","Cyatheaceae","Alsophila","Alsophila","1","conjugata","conjugata","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606718","","Y","Synonym","Cyathea conjugata","Cyathea conjugata","(Spruce ex Hook.) Domin","451766","species","http://www.tropicos.org/Name/26614864","","Cyatheaceae","1","1","tropicos","",true,23
"23","Alsophila cuspidata","1","443670","Alsophila cuspidata","1","species","","","","(Kunze) D.S. Conant","Cyatheaceae","Alsophila","Alsophila","1","cuspidata","cuspidata","1","","","","","","","","","","","","http://www.tropicos.org/Name/26606642","","Y","Accepted","Alsophila cuspidata","Alsophila cuspidata","(Kunze) D.S. Conant","443670","species","http://www.tropicos.org/Name/26606642","","Cyatheaceae","1","1","tropicos","",true,24
"24","Andira taurotesticulata","1","909206","Andira taurotesticulata","1","species","","","","R.T. Penn.","Fabaceae","Andira","Andira","1","taurotesticulata","taurotesticulata","1","","","","","","","","","","","","http://www.tropicos.org/Name/50230778","","Y","Accepted","Andira taurotesticulata","Andira taurotesticulata","R.T. Penn.","909206","species","http://www.tropicos.org/Name/50230778","","Fabaceae","1","1","tropicos","",true,25
"25","Aniba magnifica","1","1317555","Aniba magnifica","1","species","","","","W. Palacios","Lauraceae","Aniba","Aniba","1","magnifica","magnifica","1","","","","","","","","","","","","http://www.tropicos.org/Name/100472261","","Y","Accepted","Aniba magnifica","Aniba magnifica","W. Palacios","1317555","species","http://www.tropicos.org/Name/100472261","","Lauraceae","1","1","tropicos","",true,26
"26","Annona deceptrix","1","892408","Annona deceptrix","1","species","","","","(Westra) H. Rainer","Annonaceae","Annona","Annona","1","deceptrix","deceptrix","1","","","","","","","","","","","","http://www.tropicos.org/Name/50213549","","Y","Accepted","Annona deceptrix","Annona deceptrix","(Westra) H. Rainer","892408","species","http://www.tropicos.org/Name/50213549","","Annonaceae","1","1","tropicos","",true,27
"27","Annona mucosa","1","15035","Annona mucosa","1","species","","","","Jacq.","Annonaceae","Annona","Annona","1","mucosa","mucosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/1600785","","Y","Accepted","Annona mucosa","Annona mucosa","Jacq.","15035","species","http://www.tropicos.org/Name/1600785","","Annonaceae","1","1","tropicos","",true,28
"28","Annona quinduensis","1","14369","Annona quinduensis","1","species","","","","Kunth","Annonaceae","Annona","Annona","1","quinduensis","quinduensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/1600092","","Y","Accepted","Annona quinduensis","Annona quinduensis","Kunth","14369","species","http://www.tropicos.org/Name/1600092","","Annonaceae","1","1","tropicos","",true,29
"29","Aphelandra acanthus","1","136","Aphelandra acanthus","1","species","","","","Nees","Acanthaceae","Aphelandra","Aphelandra","1","acanthus","acanthus","1","","","","","","","","","","","","http://www.tropicos.org/Name/100155","","Y","Accepted","Aphelandra acanthus","Aphelandra acanthus","Nees","136","species","http://www.tropicos.org/Name/100155","","Acanthaceae","1","1","tropicos","",true,30
"30","Ardisia ambigua","1","316282","Ardisia ambigua","1","species","","","","Mart.","Primulaceae","Ardisia","Ardisia","1","ambigua","ambigua","1","","","","","","","","","","","","http://www.tropicos.org/Name/22000804","","Y","Synonym","Geissanthus ambigua","Geissanthus ambigua","(Mart.) G. Agostini","317166","species","http://www.tropicos.org/Name/22001717","","Primulaceae","1","1","tropicos","",true,31
"31","Axinaea lehmannii","1","305190","Axinaea lehmannii","1","species","","","","Cogn.","Melastomataceae","Axinaea","Axinaea","1","lehmannii","lehmannii","1","","","","","","","","","","","","http://www.tropicos.org/Name/20300341","","Y","Accepted","Axinaea lehmannii","Axinaea lehmannii","Cogn.","305190","species","http://www.tropicos.org/Name/20300341","","Melastomataceae","1","1","tropicos","",true,32
"32","Axinaea macrophylla","1","305192","Axinaea macrophylla","1","species","","","","(Naudin) Triana","Melastomataceae","Axinaea","Axinaea","1","macrophylla","macrophylla","1","","","","","","","","","","","","http://www.tropicos.org/Name/20300343","","Y","Accepted","Axinaea macrophylla","Axinaea macrophylla","(Naudin) Triana","305192","species","http://www.tropicos.org/Name/20300343","","Melastomataceae","1","1","tropicos","",true,33
"33","Axinaea quitensis","1","308648","Axinaea quitensis","1","species","","","","Benoist","Melastomataceae","Axinaea","Axinaea","1","quitensis","quitensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/20303909","","Y","Accepted","Axinaea quitensis","Axinaea quitensis","Benoist","308648","species","http://www.tropicos.org/Name/20303909","","Melastomataceae","1","1","tropicos","",true,34
"34","Bactris gasipaes var. chichagui","1","858081","Bactris gasipaes var. chichagui","1","variety","","","","(H. Karst.) A.J. Hend.","Arecaceae","Bactris","Bactris","1","gasipaes","gasipaes","1","","","","var.","chichagui","1","","","","","","http://www.tropicos.org/Name/50178417","","Y","Accepted","Bactris gasipaes var. chichagui","Bactris gasipaes","(H. Karst.) A.J. Hend.","858081","variety","http://www.tropicos.org/Name/50178417","","Arecaceae","1","1","tropicos","",true,35
"35","Banara glauca","1","255144","Banara glauca","1","species","","","","(Kunth) Benth.","Salicaceae","Banara","Banara","1","glauca","glauca","1","","","","","","","","","","","","http://www.tropicos.org/Name/13200052","","Y","Accepted","Banara glauca","Banara glauca","(Kunth) Benth.","255144","species","http://www.tropicos.org/Name/13200052","","Salicaceae","1","1","tropicos","",true,36
"36","Banara regia","1","256133","Banara regia","1","species","","","","Sandwith","Salicaceae","Banara","Banara","1","regia","regia","1","","","","","","","","","","","","http://www.tropicos.org/Name/13201122","","Y","Accepted","Banara regia","Banara regia","Sandwith","256133","species","http://www.tropicos.org/Name/13201122","","Salicaceae","1","1","tropicos","",true,37
"37","Beilschmiedia alloiophylla","1","280567","Beilschmiedia alloiophylla","1","species","","","","(Rusby) Kosterm.","Lauraceae","Beilschmiedia","Beilschmiedia","1","alloiophylla","alloiophylla","1","","","","","","","","","","","","http://www.tropicos.org/Name/17802444","","Y","Accepted","Beilschmiedia alloiophylla","Beilschmiedia alloiophylla","(Rusby) Kosterm.","280567","species","http://www.tropicos.org/Name/17802444","","Lauraceae","1","1","tropicos","",true,38
"38","Beilschmiedia tovarensis","1","807803","Beilschmiedia tovarensis","1","species","","","","(Klotzsch & H. Karst. ex Meisn.) Sach. Nishida","Lauraceae","Beilschmiedia","Beilschmiedia","1","tovarensis","tovarensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/50126255","","Y","Accepted","Beilschmiedia tovarensis","Beilschmiedia tovarensis","(Klotzsch & H. Karst. ex Meisn.) Sach. Nishida","807803","species","http://www.tropicos.org/Name/50126255","","Lauraceae","1","1","tropicos","",true,39
"39","Beilschmiedia pendula","1","278691","Beilschmiedia pendula","1","species","","","","(Sw.) Hemsl.","Lauraceae","Beilschmiedia","Beilschmiedia","1","pendula","pendula","1","","","","","","","","","","","","http://www.tropicos.org/Name/17800506","","Y","Accepted","Beilschmiedia pendula","Beilschmiedia pendula","(Sw.) Hemsl.","278691","species","http://www.tropicos.org/Name/17800506","","Lauraceae","1","1","tropicos","",true,40
"40","Billia rosea","1","874202","Billia rosea","1","species","","","","(Planch. & Linden) C. Ulloa & P. JÃ¸rg.","Sapindaceae","Billia","Billia","1","rosea","rosea","1","","","","","","","","","","","","http://www.tropicos.org/Name/50194899","","Y","Accepted","Billia rosea","Billia rosea","(Planch. & Linden) C. Ulloa & P. JÃ¸rg.","874202","species","http://www.tropicos.org/Name/50194899","","Sapindaceae","1","1","tropicos","",true,42
"41","Blakea eriocalyx","1","308688","Blakea eriocalyx","1","species","","","","Wurdack","Melastomataceae","Blakea","Blakea","1","eriocalyx","eriocalyx","1","","","","","","","","","","","","http://www.tropicos.org/Name/20303949","","Y","Accepted","Blakea eriocalyx","Blakea eriocalyx","Wurdack","308688","species","http://www.tropicos.org/Name/20303949","","Melastomataceae","1","1","tropicos","",true,43
"42","Blakea rotundifolia","1","305238","Blakea rotundifolia","1","species","","","","D. Don","Melastomataceae","Blakea","Blakea","1","rotundifolia","rotundifolia","1","","","","","","","","","","","","http://www.tropicos.org/Name/20300389","","Y","Accepted","Blakea rotundifolia","Blakea rotundifolia","D. Don","305238","species","http://www.tropicos.org/Name/20300389","","Melastomataceae","1","1","tropicos","",true,44
"43","Boehmeria caudata","1","525555","Boehmeria caudata","1","species","","","","Sw.","Urticaceae","Boehmeria","Boehmeria","1","caudata","caudata","1","","","","","","","","","","","","http://www.tropicos.org/Name/33400436","","Y","Accepted","Boehmeria caudata","Boehmeria caudata","Sw.","525555","species","http://www.tropicos.org/Name/33400436","","Urticaceae","1","1","tropicos","",true,45
"44","Boehmeria fallax","1","525182","Boehmeria fallax","1","species","","","","Wedd.","Urticaceae","Boehmeria","Boehmeria","1","fallax","fallax","1","","","","","","","","","","","","http://www.tropicos.org/Name/33400054","","Y","Accepted","Boehmeria fallax","Boehmeria fallax","Wedd.","525182","species","http://www.tropicos.org/Name/33400054","","Urticaceae","1","1","tropicos","",true,49
"45","Brachyotum gleasonii","1","308914","Brachyotum gleasonii","1","species","","","","Wurdack","Melastomataceae","Brachyotum","Brachyotum","1","gleasonii","gleasonii","1","","","","","","","","","","","","http://www.tropicos.org/Name/20304179","","Y","Accepted","Brachyotum gleasonii","Brachyotum gleasonii","Wurdack","308914","species","http://www.tropicos.org/Name/20304179","","Melastomataceae","1","1","tropicos","",true,50
"46","Brosimum guianense","1","312864","Brosimum guianense","1","species","","","","(Aubl.) Huber","Moraceae","Brosimum","Brosimum","1","guianense","guianense","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300523","","Y","Accepted","Brosimum guianense","Brosimum guianense","(Aubl.) Huber","312864","species","http://www.tropicos.org/Name/21300523","","Moraceae","1","1","tropicos","",true,51
"47","Brosimum utile subsp. occidentale","1","314315","Brosimum utile subsp. occidentale","1","subspecies","","","","C.C. Berg","Moraceae","Brosimum","Brosimum","1","utile","utile","1","","","","subsp.","occidentale","1","","","","","","http://www.tropicos.org/Name/21302008","","Y","Accepted","Brosimum utile subsp. occidentale","Brosimum utile","C.C. Berg","314315","subspecies","http://www.tropicos.org/Name/21302008","","Moraceae","1","1","tropicos","",true,53
"48","Brownea multijuga","1","183524","Brownea multijuga","1","species","","","","Britton & Killip","Fabaceae","Brownea","Brownea","1","multijuga","multijuga","1","","","","","","","","","","","","http://www.tropicos.org/Name/13003135","","Y","Accepted","Brownea multijuga","Brownea multijuga","Britton & Killip","183524","species","http://www.tropicos.org/Name/13003135","","Fabaceae","1","1","tropicos","",true,54
"49","Browneopsis macrofoliolata","1","251636","Browneopsis macrofoliolata","1","species","","","","Klitg.","Fabaceae","Browneopsis","Browneopsis","1","macrofoliolata","macrofoliolata","1","","","","","","","","","","","","http://www.tropicos.org/Name/13074965","","Y","Accepted","Browneopsis macrofoliolata","Browneopsis macrofoliolata","Klitg.","251636","species","http://www.tropicos.org/Name/13074965","","Fabaceae","1","1","tropicos","",true,55
"50","Brunellia acostae","1","113350","Brunellia acostae","1","species","","","","Cuatrec.","Brunelliaceae","Brunellia","Brunellia","1","acostae","acostae","1","","","","","","","","","","","","http://www.tropicos.org/Name/4400002","","Y","Accepted","Brunellia acostae","Brunellia acostae","Cuatrec.","113350","species","http://www.tropicos.org/Name/4400002","","Brunelliaceae","1","1","tropicos","",true,56
"51","Brunellia comocladifolia","0.99025364493243","113358","Brunellia comocladiifolia","0.99025364493243","species","","","","Bonpl.","Brunelliaceae","Brunellia","Brunellia","1","comocladifolia","comocladiifolia","0.93333333333333","","","","","","","","","","","","http://www.tropicos.org/Name/4400011","","Y","Accepted","Brunellia comocladiifolia","Brunellia comocladiifolia","Bonpl.","113358","species","http://www.tropicos.org/Name/4400011","","Brunelliaceae","1","1","tropicos","",true,57
"52","Brunellia tomentosa","1","113392","Brunellia tomentosa","1","species","","","","Bonpl.","Brunelliaceae","Brunellia","Brunellia","1","tomentosa","tomentosa","1","","","","","","","","","","","","http://www.tropicos.org/Name/4400048","","Y","Accepted","Brunellia tomentosa","Brunellia tomentosa","Bonpl.","113392","species","http://www.tropicos.org/Name/4400048","","Brunelliaceae","1","1","tropicos","",true,58
"53","Bunchosia argentea","1","300263","Bunchosia argentea","1","species","","","","(Jacq.) DC.","Malpighiaceae","Bunchosia","Bunchosia","1","argentea","argentea","1","","","","","","","","","","","","http://www.tropicos.org/Name/19501436","","Y","Accepted","Bunchosia argentea","Bunchosia argentea","(Jacq.) DC.","300263","species","http://www.tropicos.org/Name/19501436","","Malpighiaceae","1","1","tropicos","",true,59
"54","Calatola costaricensis","1","265267","Calatola costaricensis","1","species","","","","Standl.","Metteniusaceae","Calatola","Calatola","1","costaricensis","costaricensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/16400086","","Y","Accepted","Calatola costaricensis","Calatola costaricensis","Standl.","265267","species","http://www.tropicos.org/Name/16400086","","Metteniusaceae","1","1","tropicos","",true,60
"55","Capparidastrum tafallanum","1","1278085","Capparidastrum tafallanum","1","species","","","","Cornejo, Iltis & CerÃ³n","Capparaceae","Capparidastrum","Capparidastrum","1","tafallanum","tafallanum","1","","","","","","","","","","","","http://www.tropicos.org/Name/100408179","","Y","Accepted","Capparidastrum tafallanum","Capparidastrum tafallanum","Cornejo, Iltis & CerÃ³n","1278085","species","http://www.tropicos.org/Name/100408179","","Capparaceae","1","1","tropicos","",true,61
"56","Carapa alticola","1","1240806","Carapa alticola","1","species","","","","Kenfack & Ã.J. PÃ©rez","Meliaceae","Carapa","Carapa","1","alticola","alticola","1","","","","","","","","","","","","http://www.tropicos.org/Name/100367769","","Y","Accepted","Carapa alticola","Carapa alticola","Kenfack & Ã.J. PÃ©rez","1240806","species","http://www.tropicos.org/Name/100367769","","Meliaceae","1","1","tropicos","",true,62
"57","Carapa megistocarpa","1","311004","Carapa megistocarpa","1","species","","","","A.H. Gentry & Dodson","Meliaceae","Carapa","Carapa","1","megistocarpa","megistocarpa","1","","","","","","","","","","","","http://www.tropicos.org/Name/20400975","","Y","Accepted","Carapa megistocarpa","Carapa megistocarpa","A.H. Gentry & Dodson","311004","species","http://www.tropicos.org/Name/20400975","","Meliaceae","1","1","tropicos","",true,63
"58","Carica microcarpa","1","129997","Carica microcarpa","1","species","","","","Jacq.","Caricaceae","Carica","Carica","1","microcarpa","microcarpa","1","","","","","","","","","","","","http://www.tropicos.org/Name/6100050","","Y","Synonym","Vasconcellea microcarpa","Vasconcellea microcarpa","(Jacq.) A. DC.","130057","species","http://www.tropicos.org/Name/6100110","","Caricaceae","1","1","tropicos","",true,64
"59","Casearia arborea","1","255501","Casearia arborea","1","species","","","","(Rich.) Urb.","Salicaceae","Casearia","Casearia","1","arborea","arborea","1","","","","","","","","","","","","http://www.tropicos.org/Name/13200435","","Y","Accepted","Casearia arborea","Casearia arborea","(Rich.) Urb.","255501","species","http://www.tropicos.org/Name/13200435","","Salicaceae","1","1","tropicos","",true,65
"60","Casearia cajambrensis","1","255176","Casearia cajambrensis","1","species","","","","Cuatrec.","Salicaceae","Casearia","Casearia","1","cajambrensis","cajambrensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/13200084","","Y","Accepted","Casearia cajambrensis","Casearia cajambrensis","Cuatrec.","255176","species","http://www.tropicos.org/Name/13200084","","Salicaceae","1","1","tropicos","",true,66
"61","Casearia quinduensis","1","255239","Casearia quinduensis","1","species","","","","Tul.","Salicaceae","Casearia","Casearia","1","quinduensis","quinduensis","1","","","","","","","","","","","","http://www.tropicos.org/Name/13200150","","Y","Accepted","Casearia quinduensis","Casearia quinduensis","Tul.","255239","species","http://www.tropicos.org/Name/13200150","","Salicaceae","1","1","tropicos","",true,67
"62","Casearia sylvestris","1","255256","Casearia sylvestris","1","species","","","","Sw.","Salicaceae","Casearia","Casearia","1","sylvestris","sylvestris","1","","","","","","","","","","","","http://www.tropicos.org/Name/13200167","","Y","Accepted","Casearia sylvestris","Casearia sylvestris","Sw.","255256","species","http://www.tropicos.org/Name/13200167","","Salicaceae","1","1","tropicos","",true,68
"63","Castilla elastica","1","312918","Castilla elastica","1","species","","","","SessÃ© ex Cerv.","Moraceae","Castilla","Castilla","1","elastica","elastica","1","","","","","","","","","","","","http://www.tropicos.org/Name/21300578","","Y","Accepted","Castilla elastica","Castilla elastica","SessÃ© ex Cerv.","312918","species","http://www.tropicos.org/Name/21300578","","Moraceae","1","1","tropicos","",true,69
"64","Cavendishia bracteata","1","167705","Cavendishia bracteata","1","species","","","","(Ruiz & Pav. ex J. St.-Hil.) Hoerold","Ericaceae","Cavendishia","Cavendishia","1","bracteata","bracteata","1","","","","","","","","","","","","http://www.tropicos.org/Name/12300926","","Y","Accepted","Cavendishia bracteata","Cavendishia bracteata","(Ruiz & Pav. ex J. St.-Hil.) Hoerold","167705","species","http://www.tropicos.org/Name/12300926","","Ericaceae","1","1","tropicos","",true,70
"65","Cecropia bullata","1","314266","Cecropia bullata","1","species","","","","C.C. Berg & P. Franco","Urticaceae","Cecropia","Cecropia","1","bullata","bullata","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301957","","Y","Accepted","Cecropia bullata","Cecropia bullata","C.C. Berg & P. Franco","314266","species","http://www.tropicos.org/Name/21301957","","Urticaceae","1","1","tropicos","",true,71
"66","Cecropia gabrielis","1","313621","Cecropia gabrielis","1","species","","","","Cuatrec.","Urticaceae","Cecropia","Cecropia","1","gabrielis","gabrielis","1","","","","","","","","","","","","http://www.tropicos.org/Name/21301302","","Y","Accepted","Cecropia gabrielis","Cecropia gabrielis","Cuatrec.","313621","species","http://www.tropicos.org/Name/21301302","","Urticaceae","1","1","tropicos","",true,72
